,no_of_cores,no_of_threads,spec_score,imageurl,model_name,brand,processor_name,ram(GB),ssd(GB),graphics,screen_size(inches),resolution (pixels),price
1,2,4,62,,Lenovo V15 ITL G2 82KBA033IH Laptop,Lenovo,11th Gen Core i3,8,512,Intel Integrated UHD,15.6,1920 x 1080,9630000
2,6,12,66,,HP Pavilion 15-ec2004AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,NVIDIA GeForce GTX 1650,15.6,1920 x 1080,15940000
3,6,12,66,,Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop,Asus,Ryzen 5-5600H,8,512,AMD Radeon Vega 7,16,1200 x 1920,13910000
4,4,8,63,,HP 15s-fr4000TU Laptop,HP,11th Gen Core i5,8,512,Intel Integrated Iris Xe,15.6,1920 x 1080,15040000
5,4,8,73,,Lenovo IdeaPad Gaming 3 82K101ECIN Laptop,Lenovo,11th Gen Core i5,8,256,NVIDIA GeForce GTX 1650,15.6,1920 x 1080,16100000
6,2,2,57,,HP 15s-eq1559AU Laptop,HP,AMD Athlon Silver 3050U,8,512,AMD Radeon Graphics,15.6,1366 x 768,8290000
7,6,8,61,,Dell Inspiron 3520 Laptop,Dell,12th Gen Core i3,8,512,Intel UHD Graphics,15.6,1920 x 1080,12520000
8,6,8,60,,HP 15s-fq5007TU Laptop,HP,12th Gen Core i3,8,512,Intel UHD Graphics,15.6,1920 x 1080,13280000
9,10,12,61,,HP 15s-fq5111TU Laptop,HP,12th Gen Core i5,8,512,Intel Iris Xe,15.6,1920 x 1080,16620000
10,6,12,69,,Asus TUF Gaming A15 FA506IHRZ-HN111W Laptop,Asus,AMD Ryzen 5 4600H,8,512,NVIDIA GeForce GTX 1650,15.6,1920 x 1080,14190000
11,2,4,57,,HP 15s-er1501AU Laptop,HP,AMD Ryzen 3 3250U,8,256,AMD Radeon,15.6,1920 x 1080,8090000
12,6,12,72,,HP Victus 15-fb0040AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,NVIDIA GeForce GTX 1650,15.6,1920 x 1080,16980000
13,2,4,51,,Asus VivoBook 14 X415JA-BV301WS Laptop,Asus,10th Gen Core i3,8,0,Intel UHD Graphics,14,1920 x 1080,8480000
14,2,4,56,,HP 15s-fq2717TU Laptop,HP,11th Gen Core i3,8,512,Intel Integrated UHD,15.6,1920 x 1080,11890000
15,2,4,41,,Lenovo E41-55 82FJ00AGIH Laptop,Lenovo,Athlon Gold 3150U,4,256,AMD Radeon RADEON,14,1920 x 1080,5390000
16,2,4,60,,HP 15s-FR2511TU Laptop,HP,11th Gen Core i3,8,512,Intel UHD Graphics,15.6,1920 x 1080,11600000
17,4,8,59,,HP 15s- eq2212AU Laptop,HP,AMD Ryzen 3 5300U,8,512,AMD Radeon Graphics,15.6,1920 x 1080,10780000
18,2,4,59,,HP 245 G8 62G68PA Laptop,HP,AMD Ryzen 3  3250U,8,0,AMD Radeon Graphics,14,1920 x 1080,7920000
19,2,4,50,,Acer One 14 Z2-493 Laptop,Acer,AMD Ryzen 3 3250U,4,256,AMD Radeon Radeon Graphics,14,1366 x 768,5960000
20,12,16,74,,Acer Aspire 7 A715-51G NH.QGCSI.001 Gaming Laptop,Acer,12th Gen Core i5,8,512,NVIDIA GeForce RTX 3050,15.6,1920 x 1080,18450000
21,6,12,68,,MSI Bravo 15 B5DD-410IN Gaming Laptop,MSI,Ryzen 5 5600H,8,512,AMD Radeon RX 5500M,15.6,1920 x 1080,13620000
22,10,12,57,,HP 14s-dy5005TU Laptop,HP,12th Gen Core i5,16,512,Intel Integrated Intel Iris Xe Graphics,14,1920 x 1080,18170000
23,8,16,73,,MSI Thin GF63 11SC-852IN Gaming Laptop,MSI,11th Gen Core i7,8,512,NVIDIA GeForce GTX 1650 MAX Q,15.6,1920 x 1080,18170000
24,10,12,80,,Asus Zenbook 17 Fold UX9702AA-MD023WS Laptop,Asus,12th Gen Core i7,16,1000,Intel Iris Xe Graphics,17.3,2560 x 1920,93710000
25,4,8,56,,Dell Latitude 3420 Laptop,Dell,11th Gen Core i5,8,512,Intel UHD Graphics,14,1366 x 768,20940000
26,2,4,57,,HP 14s-dq2649TU Laptop,HP,11th Gen Core i3,8,512,Intel Integrated UHD,14,1920 x 1080,12920000
27,2,4,56,,Dell Vostro 3510 Laptop,Dell,11th Gen Core i3,8,256,Intel UHD Graphics,15.6,1920 x 1080,10780000
28,6,12,65,,HP 14s-fq1092au Laptop,HP,Ryzen 5 5500U,8,512,AMD Radeon AMD,14,1920 x 1080,13080000
29,4,8,61,,HP 247 G8 600A9PA Laptop,HP,AMD Ryzen 3 5300U,8,512,AMD Radeon Graphics,14,1366 x 768,9370000
30,14,20,69,,Acer Swift 3 OLED SF314-71 NX.KAVSI.001 Laptop,Acer,12th Gen Core i7,16,1000,Intel Integrated Iris Xe,14,2880 x 1800,32940000
31,8,16,81,,HP Omen 16-n0079AX Gaming Laptop,HP,AMD Ryzen 7 6800H,16,512,AMD Radeon RX 6650M,16.1,1920 x 1080,30750000
32,4,4,51,,HP 14s-dr3001TU Laptop,HP,Pentium Silver N6000,8,256,Intel UHD Graphics,14,1366 x 768,8800000
33,2,2,0,,Asus Chromebook Flip C214MA-BU0704 Laptop,Asus,Celeron N4020,4,0,Intel Integrated UHD 600,11.6,1366 x 768,4540000
