,no_of_cores,no_of_threads,spec_score,imageurl,model_name,brand,processor_name,ram(GB),ssd(GB),graphics,screen_size(inches),resolution_(pixels),price
1,2,4,62,,Lenovo_V15_ITL_G2_82KBA033IH_Laptop,Lenovo,11th_Gen_Core_i3,8,512,Intel_Integrated_UHD,15.6,1920_x_1080,9630000
2,6,12,66,,HP_Pavilion_15-ec2004AX_Gaming_Laptop,HP,AMD_Ryzen_5_5600H,8,512,NVIDIA_GeForce_GTX_1650,15.6,1920_x_1080,15940000
3,6,12,66,,Asus_Vivobook_16X_2022_M1603QA-MB502WS_Laptop,Asus,Ryzen_5-5600H,8,512,AMD_Radeon_Vega_7,16,1200_x_1920,13910000
4,4,8,63,,HP_15s-fr4000TU_Laptop,HP,11th_Gen_Core_i5,8,512,Intel_Integrated_Iris_Xe,15.6,1920_x_1080,15040000
5,4,8,73,,Lenovo_IdeaPad_Gaming_3_82K101ECIN_Laptop,Lenovo,11th_Gen_Core_i5,8,256,NVIDIA_GeForce_GTX_1650,15.6,1920_x_1080,16100000
6,2,2,57,,HP_15s-eq1559AU_Laptop,HP,AMD_Athlon_Silver_3050U,8,512,AMD_Radeon_Graphics,15.6,1366_x_768,8290000
7,6,8,61,,Dell_Inspiron_3520_Laptop,Dell,12th_Gen_Core_i3,8,512,Intel_UHD_Graphics,15.6,1920_x_1080,12520000
8,6,8,60,,HP_15s-fq5007TU_Laptop,HP,12th_Gen_Core_i3,8,512,Intel_UHD_Graphics,15.6,1920_x_1080,13280000
9,10,12,61,,HP_15s-fq5111TU_Laptop,HP,12th_Gen_Core_i5,8,512,Intel_Iris_Xe,15.6,1920_x_1080,16620000
10,6,12,69,,Asus_TUF_Gaming_A15_FA506IHRZ-HN111W_Laptop,Asus,AMD_Ryzen_5_4600H,8,512,NVIDIA_GeForce_GTX_1650,15.6,1920_x_1080,14190000
11,2,4,57,,HP_15s-er1501AU_Laptop,HP,AMD_Ryzen_3_3250U,8,256,AMD_Radeon,15.6,1920_x_1080,8090000
12,6,12,72,,HP_Victus_15-fb0040AX_Gaming_Laptop,HP,AMD_Ryzen_5_5600H,8,512,NVIDIA_GeForce_GTX_1650,15.6,1920_x_1080,16980000
13,2,4,51,,Asus_VivoBook_14_X415JA-BV301WS_Laptop,Asus,10th_Gen_Core_i3,8,0,Intel_UHD_Graphics,14,1920_x_1080,8480000
14,2,4,56,,HP_15s-fq2717TU_Laptop,HP,11th_Gen_Core_i3,8,512,Intel_Integrated_UHD,15.6,1920_x_1080,11890000
15,2,4,41,,Lenovo_E41-55_82FJ00AGIH_Laptop,Lenovo,Athlon_Gold_3150U,4,256,AMD_Radeon_RADEON,14,1920_x_1080,5390000
16,2,4,60,,HP_15s-FR2511TU_Laptop,HP,11th_Gen_Core_i3,8,512,Intel_UHD_Graphics,15.6,1920_x_1080,11600000
17,4,8,59,,HP_15s-_eq2212AU_Laptop,HP,AMD_Ryzen_3_5300U,8,512,AMD_Radeon_Graphics,15.6,1920_x_1080,10780000
18,2,4,59,,HP_245_G8_62G68PA_Laptop,HP,AMD_Ryzen_3__3250U,8,0,AMD_Radeon_Graphics,14,1920_x_1080,7920000
19,2,4,50,,Acer_One_14_Z2-493_Laptop,Acer,AMD_Ryzen_3_3250U,4,256,AMD_Radeon_Radeon_Graphics,14,1366_x_768,5960000
20,12,16,74,,Acer_Aspire_7_A715-51G_NH.QGCSI.001_Gaming_Laptop,Acer,12th_Gen_Core_i5,8,512,NVIDIA_GeForce_RTX_3050,15.6,1920_x_1080,18450000
21,6,12,68,,MSI_Bravo_15_B5DD-410IN_Gaming_Laptop,MSI,Ryzen_5_5600H,8,512,AMD_Radeon_RX_5500M,15.6,1920_x_1080,13620000
22,10,12,57,,HP_14s-dy5005TU_Laptop,HP,12th_Gen_Core_i5,16,512,Intel_Integrated_Intel_Iris_Xe_Graphics,14,1920_x_1080,18170000
23,8,16,73,,MSI_Thin_GF63_11SC-852IN_Gaming_Laptop,MSI,11th_Gen_Core_i7,8,512,NVIDIA_GeForce_GTX_1650_MAX_Q,15.6,1920_x_1080,18170000
24,10,12,80,,Asus_Zenbook_17_Fold_UX9702AA-MD023WS_Laptop,Asus,12th_Gen_Core_i7,16,1000,Intel_Iris_Xe_Graphics,17.3,2560_x_1920,93710000
25,4,8,56,,Dell_Latitude_3420_Laptop,Dell,11th_Gen_Core_i5,8,512,Intel_UHD_Graphics,14,1366_x_768,20940000
26,2,4,57,,HP_14s-dq2649TU_Laptop,HP,11th_Gen_Core_i3,8,512,Intel_Integrated_UHD,14,1920_x_1080,12920000
27,2,4,56,,Dell_Vostro_3510_Laptop,Dell,11th_Gen_Core_i3,8,256,Intel_UHD_Graphics,15.6,1920_x_1080,10780000
28,6,12,65,,HP_14s-fq1092au_Laptop,HP,Ryzen_5_5500U,8,512,AMD_Radeon_AMD,14,1920_x_1080,13080000
29,4,8,61,,HP_247_G8_600A9PA_Laptop,HP,AMD_Ryzen_3_5300U,8,512,AMD_Radeon_Graphics,14,1366_x_768,9370000
30,14,20,69,,Acer_Swift_3_OLED_SF314-71_NX.KAVSI.001_Laptop,Acer,12th_Gen_Core_i7,16,1000,Intel_Integrated_Iris_Xe,14,2880_x_1800,32940000
31,8,16,81,,HP_Omen_16-n0079AX_Gaming_Laptop,HP,AMD_Ryzen_7_6800H,16,512,AMD_Radeon_RX_6650M,16.1,1920_x_1080,30750000
